Label,URL,brand,name,price,ingredients
laver,https://labelleboucle.fr/collections/laver/products/serviette-cheveux-boucles-plopping-scrunch,LES TENDANCES D'EMMA,Serviette Cheveux Bouclés Plopping & Scrunch,"33,90€",No Info
laver,https://labelleboucle.fr/collections/laver/products/bonnet-de-nuit-en-satin,LA BELLE BOUCLE,Bonnet de Nuit en Satin,"39,00€","Bonnet de nuit doublé en 100% satin de polyester. Fait à la main en France par Retour O Naturel. Modèle La Belle Boucle développé pour le plus grand confort des cheveux bouclés, en deux tailles pour s’adapter aux différentes masses/longueurs/tour de tête. Couleur : “Dune”* = beige Taille S : Tour de tête entre 54 et 57 cm Taille M : Tour de tête entre 58 et 61 cm"
laver,https://labelleboucle.fr/collections/laver/products/chouchou-impermeable,QUEEN SCRUNCHIE,Chouchou Imperméable,No Info,No Info
laver,https://labelleboucle.fr/collections/laver/products/taie-doreiller-en-soie,VENUS & GAIA,Taie d'Oreiller en Soie,No Info,"65 x 65 cms ou 50 x 70 cms (taille européenne standard) finition avec passepoil fermeture éclair invisible intégrée 100% soie de mûrier grade 6A, sélectionnée avec soin pour vous apporter la meilleure qualité 22 momme, la meilleure qualité possible pour une soie épaisse ultra résistante et lavable en machine cet article est certifié OEKO-TEX® : STANDARD 100 (numéro de certificat : 19.HCN.94505) depuis 2019 et GOTS ®"
laver,https://labelleboucle.fr/collections/laver/products/ecrin-de-voyage-en-liege-pour-apres-shampoing,UMAÏ,Écrin de Voyage en Liège pour Après-shampoing,"13,50€",No Info
laver,https://labelleboucle.fr/collections/laver/products/ecrin-de-voyage-en-liege-pour-shampoing,UMAÏ,Écrin de Voyage en Liège pour Shampoing,"13,50€",No Info
laver,https://labelleboucle.fr/collections/laver/products/grand-ecrin-de-voyage-en-liege,UMAÏ,Grand Écrin de Voyage en Liège,"14,50€",No Info
laver,https://labelleboucle.fr/collections/laver/products/elastique-en-spirales,LA BELLE BOUCLE,Élastique en spirales,"0,75€",No Info
laver,https://labelleboucle.fr/collections/laver/products/vaporisateur-cheveux-boucles,LA BELLE BOUCLE,Vaporisateur Cheveux Bouclés,"11,90€",No Info
laver,https://labelleboucle.fr/collections/laver/products/brosse-demelante-cheveux-boucles,LA BELLE BOUCLE,Brosse Démêlante Cheveux Bouclés,"14,90€",No Info
laver,https://labelleboucle.fr/collections/laver/products/peigne-a-dents-larges-en-bois-pour-cheveux-boucles,LA BELLE BOUCLE,Peigne à dents larges en Bois pour Cheveux Bouclés,"9,90€","Bois de bambou 100 % naturel.

Cet accessoire en Bois de Bambou est 100 % naturel. Il mesure 15 cm sur 5,5 cm."
laver,https://labelleboucle.fr/collections/laver/products/serviette-a-cheveux-en-bambou,LES TENDANCES D'EMMA,Serviette à Cheveux en Bambou,No Info,"Composition de la Serviette : 90% viscose de bambou et 10% polyester.

Viscose de Bambou certifiée oekotex standard 100 classe 1

Fabriquée en France

Dimension : 50x70cm
La taille unique de la Serviette convient aux adultes et aux enfants."
laver,https://labelleboucle.fr/collections/laver/products/bonnet-de-soin-capillaire-2,LA BELLE BOUCLE,Bonnet de Soin Capillaire,No Info,"Les Bonnets de Soin sont confectionnés à la main avec amour et passion par BiotéNaturelle en exclusivité pour la boutique Belle Boucle !

La fabrication est réalisée à partir de tissus certifiés OekoTex. Nous vous proposons ainsi des accessoires écologiques de leur conception jusqu’à leur utilisation.

Le bonnet est en coton, doublé d’un tissu imperméable et hermétique. Grâce à son élastique résistant, le bonnet convient à toutes les têtes.

Le bonnet mesure environ 33cm de diamètre.

Les quantités sont limitées !"
laver,https://labelleboucle.fr/collections/laver/products/chouchou-en-satin-pour-les-cheveux,QUEEN SCRUNCHIE,Chouchou en Satin pour les cheveux,No Info,"Tous les chouchou de Queen Scrunchie sont fabriqués à la main à Amsterdam dans une démarche écologique et locale. Les tissus sont sélectionnés avec soin : ils sont issus de chutes de collections particulières ou de tissus recyclés. Ils sont composés d’un mélange de polyester, de satin et parfois de soie.

Chaque coloris est disponible en deux tailles :

Small : environ 10cm de diamètre
Medium : environ 14cm de diamètre"
laver,https://labelleboucle.fr/collections/laver/products/brosse-stimulating-scalp-brush,CUT BY FRED,Brosse Stimulating Scalp Brush,"17,00€","5% fibre de blé.
95% ABS (polymère amorphe).
Picots 100% en silicone."
laver,https://labelleboucle.fr/collections/laver/products/brosse-les-secrets-de-loly-cheveux-boucles,LES SECRETS DE LOLY,Brosse Les Secrets de Loly Cheveux Bouclés,"14,90€",Le manche de la brosse est composé de bois d’érable. Les brins très souples sont en nylons sur coussin en caoutchouc.
laver,https://labelleboucle.fr/collections/laver/products/trousse-bouclettes-en-fete,LA BELLE BOUCLE,Trousse Bouclettes en Fête,"6,90€",No Info
laver,https://labelleboucle.fr/collections/laver/products/serviette-cheveux-boucles-plopping-scrunch,LES TENDANCES D'EMMA,Serviette Cheveux Bouclés Plopping & Scrunch,"33,90€",No Info
laver,https://labelleboucle.fr/collections/laver/products/bonnet-de-nuit-en-satin,LA BELLE BOUCLE,Bonnet de Nuit en Satin,"39,00€","Bonnet de nuit doublé en 100% satin de polyester. Fait à la main en France par Retour O Naturel. Modèle La Belle Boucle développé pour le plus grand confort des cheveux bouclés, en deux tailles pour s’adapter aux différentes masses/longueurs/tour de tête. Couleur : “Dune”* = beige Taille S : Tour de tête entre 54 et 57 cm Taille M : Tour de tête entre 58 et 61 cm"
laver,https://labelleboucle.fr/collections/laver/products/chouchou-impermeable,QUEEN SCRUNCHIE,Chouchou Imperméable,No Info,No Info
laver,https://labelleboucle.fr/collections/laver/products/taie-doreiller-en-soie,VENUS & GAIA,Taie d'Oreiller en Soie,No Info,"65 x 65 cms ou 50 x 70 cms (taille européenne standard) finition avec passepoil fermeture éclair invisible intégrée 100% soie de mûrier grade 6A, sélectionnée avec soin pour vous apporter la meilleure qualité 22 momme, la meilleure qualité possible pour une soie épaisse ultra résistante et lavable en machine cet article est certifié OEKO-TEX® : STANDARD 100 (numéro de certificat : 19.HCN.94505) depuis 2019 et GOTS ®"
laver,https://labelleboucle.fr/collections/laver/products/ecrin-de-voyage-en-liege-pour-apres-shampoing,UMAÏ,Écrin de Voyage en Liège pour Après-shampoing,"13,50€",No Info
laver,https://labelleboucle.fr/collections/laver/products/ecrin-de-voyage-en-liege-pour-shampoing,UMAÏ,Écrin de Voyage en Liège pour Shampoing,"13,50€",No Info
laver,https://labelleboucle.fr/collections/laver/products/grand-ecrin-de-voyage-en-liege,UMAÏ,Grand Écrin de Voyage en Liège,"14,50€",No Info
laver,https://labelleboucle.fr/collections/laver/products/shampoing-a-la-pomme-et-au-gingembre,DESERT ESSENCE,Shampoing à la Pomme et au Gingembre,"9,50€",No Info
laver,https://labelleboucle.fr/collections/laver/products/shampoing-solide-doux,UMAÏ,Shampoing Solide Doux,"19,00€","Sodium Cocoyl Isethionate, Stearic Acid, Zea Mays (corn) Starch, Palmitic Acid*, Coconut Acid, Glycerin, Arachidyl/Behenyl Alcohol, Prunus Amygdalus Dulcis (sweet almond) Oil**, Cetearyl Alcohol**, Glyceryl Stearate**, Helianthus Annuus (sunflower) Seed Oil**, Arachidyl/Behenyl Betainate Esylate, Sodium Isethionate, Sodium Olivoyl Glutamate**, Prunus Domestica Seed Oil, Rosmarinus Officinalis (rosemary) Extract**, Aqua (water), Parfum (fragrance), Hydrogenated Prunus Domestica Seed Oil, Sodium Benzoate, Potassium Sorbate, Tocopherol.

* Ingrédient issu de l'olive.
** Ingrédients issus de l’Agriculture Biologique.

Format : 100 g."
laver,https://labelleboucle.fr/collections/laver/products/shampoing-sec-en-poudre,GYADA COSMETICS,Shampoing Sec en Poudre,No Info,"Hydroxide, Aloe Barbadensis Leaf Juice Powder (*), Juglans Regia Shell Powder, Glycine Soja Protein, Calcium Pantothenate, Sodium Bicarbonate, Benzyl Alcohol, Parfum. (*) Issu de l’Agriculture Biologique.

Shampoing Sec : cheveux blonds Oryza Sativa Starch, Zea Mays Starch, Talc, Kaolin, Mica, Iron Hydroxide, Aloe Barbadensis Leaf Juice Powder (*), Curcuma Longa Root Extract, Glycine Soja Protein, Calcium Pantothenate, Sodium Bicarbonate, Titanium Dioxide, Benzyl Alcohol, Parfum. (*) Issu de l’Agriculture Biologique.

Shampoing Sec : cheveux roux Oryza Sativa Starch, Zea Mays Starch, Talc, Kaolin, Mica, Titanium Dioxide, Iron Hydroxide, Aloe Barbadensis Leaf Juice Powder (*), Hibiscus Sabdariffa Flower Extract, Glycine Soja Protein, Calcium Pantothenate, Sodium Bicarbonate, Benzyl Alcohol, Parfum. (*) Issu de l’Agriculture Biologique. Contenance des Shampoings Secs : 50 g."
